2017-02-07 14:11:06.701 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-02-07 14:11:06.790 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Feb 07 14:11:06 CST 2017]; root of context hierarchy
2017-02-07 14:11:06.835 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2017-02-07 14:11:07.012 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-02-07 14:11:07.118 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-jedis.xml]
2017-02-07 14:11:07.368 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\db.properties]
2017-02-07 14:11:07.369 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\resource.properties]
2017-02-07 14:11:07.384 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 14:11:07.853 [localhost-startStop-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-02-07 14:11:09.298 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2593 ms
2017-02-07 14:14:37.595 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-02-07 14:14:37.683 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Feb 07 14:14:37 CST 2017]; root of context hierarchy
2017-02-07 14:14:37.728 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2017-02-07 14:14:37.903 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-02-07 14:14:38.006 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-jedis.xml]
2017-02-07 14:14:38.263 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\db.properties]
2017-02-07 14:14:38.264 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\resource.properties]
2017-02-07 14:14:38.280 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 14:14:38.902 [localhost-startStop-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-02-07 14:14:40.234 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2636 ms
2017-02-07 14:26:18.155 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-02-07 14:26:18.244 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Feb 07 14:26:18 CST 2017]; root of context hierarchy
2017-02-07 14:26:18.285 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2017-02-07 14:26:18.485 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-02-07 14:26:18.585 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-jedis.xml]
2017-02-07 14:26:18.862 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\db.properties]
2017-02-07 14:26:18.862 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\resource.properties]
2017-02-07 14:26:18.876 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 14:26:19.347 [localhost-startStop-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-02-07 14:26:20.935 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2777 ms
2017-02-07 14:28:57.518 [http-bio-8081-exec-10] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'uping-rest': initialization started
2017-02-07 14:28:57.522 [http-bio-8081-exec-10] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 14:28:57 CST 2017]; parent: Root WebApplicationContext
2017-02-07 14:28:57.523 [http-bio-8081-exec-10] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring_mvc.xml]
2017-02-07 14:28:57.676 [http-bio-8081-exec-10] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 14:28:58.010 [http-bio-8081-exec-10] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index],methods=[GET]}" onto public java.lang.String com.upingwang.rest.controller.IndexController.index()
2017-02-07 14:28:58.058 [http-bio-8081-exec-10] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.1.1.Final
2017-02-07 14:28:58.273 [http-bio-8081-exec-10] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 14:28:57 CST 2017]; parent: Root WebApplicationContext
2017-02-07 14:28:58.326 [http-bio-8081-exec-10] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 14:28:57 CST 2017]; parent: Root WebApplicationContext
2017-02-07 14:28:58.429 [http-bio-8081-exec-10] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-02-07 14:28:58.457 [http-bio-8081-exec-10] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'uping-rest': initialization completed in 938 ms
2017-02-07 14:28:58.464 [http-bio-8081-exec-10] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/rest] in DispatcherServlet with name 'uping-rest'
2017-02-07 14:29:02.021 [http-bio-8081-exec-10] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/rest/] in DispatcherServlet with name 'uping-rest'
2017-02-07 14:30:07.885 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-02-07 14:30:07.967 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Feb 07 14:30:07 CST 2017]; root of context hierarchy
2017-02-07 14:30:08.008 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2017-02-07 14:30:08.155 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-02-07 14:30:08.259 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-jedis.xml]
2017-02-07 14:30:08.584 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\db.properties]
2017-02-07 14:30:08.585 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\resource.properties]
2017-02-07 14:30:08.600 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 14:30:09.030 [localhost-startStop-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-02-07 14:30:10.659 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2771 ms
2017-02-07 14:31:13.487 [http-bio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'uping-rest': initialization started
2017-02-07 14:31:13.490 [http-bio-8081-exec-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 14:31:13 CST 2017]; parent: Root WebApplicationContext
2017-02-07 14:31:13.491 [http-bio-8081-exec-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring_mvc.xml]
2017-02-07 14:31:13.671 [http-bio-8081-exec-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 14:31:13.868 [http-bio-8081-exec-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index],methods=[GET]}" onto public java.lang.String com.upingwang.rest.controller.IndexController.index()
2017-02-07 14:31:13.944 [http-bio-8081-exec-1] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.1.1.Final
2017-02-07 14:31:14.206 [http-bio-8081-exec-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 14:31:13 CST 2017]; parent: Root WebApplicationContext
2017-02-07 14:31:14.296 [http-bio-8081-exec-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 14:31:13 CST 2017]; parent: Root WebApplicationContext
2017-02-07 14:31:14.443 [http-bio-8081-exec-1] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-02-07 14:31:14.485 [http-bio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'uping-rest': initialization completed in 998 ms
2017-02-07 14:31:34.345 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-02-07 14:31:34.434 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Feb 07 14:31:34 CST 2017]; root of context hierarchy
2017-02-07 14:31:34.486 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2017-02-07 14:31:34.680 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-02-07 14:31:34.794 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-jedis.xml]
2017-02-07 14:31:35.066 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\db.properties]
2017-02-07 14:31:35.066 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from file [C:\Users\Administrator\IdeaProjects\UpingWang\upingwang_rest\target\classes\resource\resource.properties]
2017-02-07 14:31:35.085 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 14:31:35.539 [localhost-startStop-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-02-07 14:31:37.143 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2795 ms
2017-02-07 14:33:22.539 [http-bio-8081-exec-7] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'uping-rest': initialization started
